Unnamed: 0,user_id,user_name,user_description,tweet_id,content,quotedTweet_id,mentionedUsers,#quote,#retweet,#reply,#like
86963,958192618940252160,DanielTurnerPTF,"Founder & Executive Director of @PowerTheFuture | Advocating for American energy, exposing the socialist radical green political movement. Views are my own.",1499433401757184004,"You think high gas prices are a problem? Wait till you see food prices. When Americans can’t afford to feed their families.

You can thank the eco left and #ClimateChange hysteria. @TomSteyer and @MikeBloomberg and their war on American energy. @AOC and @SenSanders. All them.",0,"[User(username='TomSteyer', id=949934436, displayname='Tom Steyer', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='MikeBloomberg', id=16581604, displayname='Mike Bloomberg', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AOC', id=138203134, displayname='Alexandria Ocasio-Cortez', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SenSanders', id=29442313, displayname='Bernie Sanders', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",7,116,13,272
87279,192942213,IPCC_CH,The Intergovernmental Panel on Climate Change #IPCC is the leading world body for the assessment of #climatechange. RT ≠ endorsement 🌍 👩🏿‍🔬👨🏾‍🔬,1499390150790422533,"#IPCC’s latest #ClimateReport, #ClimateChange 2022: Impacts, Adaptation &amp; Vulnerability, examines the impacts of #climatechange on nature and people around the globe 🌏.

Read the report ➡️ https://t.co/31XeCHClsd
Watch the trailer 📹  https://t.co/OkaQBDQfJt https://t.co/6510jVDtlr",0,,61,295,21,414
87358,958192618940252160,DanielTurnerPTF,"Founder & Executive Director of @PowerTheFuture | Advocating for American energy, exposing the socialist radical green political movement. Views are my own.",1499381636097531915,Remember- the eco left is funded by Russia / china for the sole purpose of weakening American energy using #ClimateChange hysteria and children like Greta. They fund politicians like Bernie and AOC who are too clueless to see the 30 year strategy working. #EnergyIndependence,0,,2,52,3,146
87522,90403900,AidaGreenbury,"Javanese nemophilist, risk, sustainability, working with organisations for #ZeroDeforestation & the voiceless, responsible supply chain, empowerment, climate.",1499353748904181760,"An area nearly the size of Belgium will be cleared in Indonesia’s #Papua province to grow food crops by the government. It will release 616 MT of GHG gases — a third of what Indonesia emits in a year. A disaster for Indonesia’s #climatechange commitment.
https://t.co/Pb4obgUNUs https://t.co/aP8G8KNmkS",0,,7,76,9,163
87566,291580123,TRBRajaa,#DravidianStock | #Phd | @arivalayam #DMK MLA (@OfficeofTRBR) | Member @TN_Plan | Chairman @TNEstimates | Wing Secy @DMKITwing | #திமுக🌄,1499346705002954752,Meanwhile #ClimateChange halts for no one. https://t.co/5uJrKxACVi,1499342290888044547,,0,82,4,341
87695,856148305,EUClimateAction,We are the @EU_Commission's Directorate-General for Climate Action (DG CLIMA).,1499327217821794306,"Today is #WorldWildlifeDay🐻🐍🐦 

Did you know that #ClimateChange is happening so fast that many plants and animals are struggling to cope? 

Some are even at risk of extinction if temperatures continue to rise.

Read more about the EU's #ClimateAction👇 https://t.co/UfABp3Lymo https://t.co/QqIGSRy6lY",0,,5,66,4,140
87753,1491854442542641155,ClimeToken,1st Blockchain project that can help save the world through the power of the many Get returns on your investments while donating to Climate Change Organizations,1499320064717303808,"When environmental activists are sharing their knowledge and advice it’s always worth paying attention to 🙌
⠀
#ClimateActionNow #ClimateCrisis #ClimateChange #TogetherForOurPlanet #ActNow #ActOnClimate #ClimateEmergency 
⠀
https://t.co/RxuH0v59GK",0,,50,162,74,163
87758,2911144905,rafaelmgrossi,Director General of the @IAEAorg International Atomic Energy Agency,1499318956741603330,"I welcome decision by 🇵🇭#Philippines' Pres Duterte to revive country’s nuclear power programme &amp; base it on @IAEAorg Milestones approach – and do it safely, securely &amp; effectively. A great way to fight #ClimateChange &amp; decarbonize power generation! #Atoms4Climate @teddyboylocsin https://t.co/mH974M2BhF",0,"[User(username='iaeaorg', id=19386622, displayname='IAEA - International Atomic Energy Agency', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='teddyboylocsin', id=279788564, displayname='Teddy Locsin Jr.', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",9,85,19,263
88903,810726799256809473,Tiredearth,"Tired Earth is an international environmental group trying to improve awareness and increase the hope for a shiny future.
📽️ youtube.com/TiredEarthGroup",1499059732774010885,Rich countries have 'moral obligation' to finance #biodiversity conservation around the world                                                                                                #TiredEarth #ClimateChange #Finance https://t.co/7kDk9etYCq,0,,8,135,17,328
89272,21436960,esa,"European Space Agency, keeping you posted on European space activities. 

Please see our Privacy Notice: esa.int/connectwithus",1499016969974071300,"Human-induced #ClimateChange is causing dangerous and widespread disruption in nature, affecting the lives of billions of people around the world, according to the latest #ClimateReport by the @IPCC_CH 👉 https://t.co/wkQBiPsCTJ https://t.co/72Tmae6ubn",0,"[User(username='IPCC_CH', id=192942213, displayname='IPCC', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,52,5,162
