Id,Label
1312895255633567744,ClimateAd
66780587,awscloud
21308602,cartoonnetwork
2293415520,theNASciences
723082700991676416,76Shadabkhan
1170216594414243840,FFFinBD
900669223122472960,AndersonAfDMdEP
19168238,mwheatland
20646711,UNESCO
1191682125222858752,CtxRebellion
3171668783,OffGuardian0
1176824898729250816,HUAWEI_TECH4ALL
408254056,ArtofLiving
790078801,griffiths_huw
17463923,UNFCCC
978604706,CopernicusEU
19396413,WoodlandTrust
4119914644,mbachelet
741200766451523584,Sci_Ani
857244014755536897,BiswajitThongam
3189885294,KambojAnanya
66935683,UNICEFIndia
421274906,lizbonnin
23369246,EarthDay
276713213,s_guilbeault
116579971,GadSaad
192942213,IPCC_CH
191889667,Nkanyyso
1172400231100506112,Tamizhachi_Offl
714996735,zartajgulwazir
890897569387347969,LBGAmbNorth
816592081200279552,RARohde
23638544,IUCN
301326338,KathyConWom
1371881558278172674,sujithreddy05
74720323,EIB
4719757718,quakes99
1534211360,markabelan
15088481,MikeHudema
27045167,KaraJarina
49312457,aminattock
958192618940252160,DanielTurnerPTF
8687332,smagoon
122706519,Wangchuk66
794815,alvinfoo
1429514676648480781,_GlobalCrisis_
1405277131094036480,DanielaSDGs
1191799251757604867,Ksareen30
1169901198180139008,ScientistsX
811192656,mindingottawa
1495635512308432896,IakobaSir
2788246892,_jadebegay
810282809482944512,JosieMcskimming
722397546027610116,tukwa2
917397799972605953,NakabuyeHildaF
1369998441531727879,LeosAnimalPlan1
2881236430,ProfMarkMaslin
1402192935056195586,ImandiU
1077214808,GovInslee
1180555549672460289,AnnaKernahan
1510564101046816771,HealTheEarth4
18219480,carayeates
66618330,icimod
957872128354742272,1Hid1
1294974404233965570,ReefDeFi
891196486221930496,glyndondave_rmt
113062227,WMO
109944769,CraigAWelch
1438465661206863876,anastasiavierra
1490836963112357888,jstfrsn
835466689,krysooyaaa
65888009,VeganPoet
1160263164078022656,BeeAsMarine
1465044446794641408,brightside_mnl
1254741319722778626,sb19nizm
1379294048175808512,chnchin01
2956724790,VPolshettiwar
17865542,unibirmingham
1331496904757133312,gvvyjpeg
1387630632096788480,ksxnrise
1261200028548214785,jichuhourly
1316227615926099968,gbrdns143
1388882754457141252,oshaboveall
1420644584275603457,kathleese
1494673092584812544,jollibidangsaya
1370229031849750529,miyenhope
3107265097,AnneCleary_
1161326804759531520,50by40
16822995,ChrisBisson
1158475621,Captain_GreenKe
1226299611872022528,gzlrq_
1134894192180809729,Marwamohabe1
2803191,intel
1394975254418763790,ClimateCrisisAG
223479834,350Africa
735226507,Tsubaki564
480196886,BrentToderian
17137628,UN_Women
1297793920340905984,DrGauravGarg4
296824934,orange
1319165954820087808,gabeeno
3459051,Greenpeace
1499476545177538566,OracleOfTears
15719232,JanJekielek
810726799256809473,Tiredearth
1339821457,EnergyHouseVA
39002335,ellymelly
759490818755457024,shiv_teaching
2562240601,ProfStrachan
24782816,alan_poirier
233335579,RSipakov
851207343303868416,VoteDarlene
1314629071838605318,climate_good
39085195,theGEF
1081646772852805632,SuryaIshaYoga1
1467080747479666691,cpsavesoil
1207312264161832960,HarunanySumaiya
1417291166224207872,samlo_xo
49706968,CenterEnvHealth
1167873806,ManushiChhillar
14342564,NOAA
189868631,DrTedros
2409488466,andersen_inger
766136186268160000,jmil400
2615581908,RonniSalt
2706075254,JamieWaterall
40001204,UNBiodiversity
18564887,Wendy_Bacon
1487114625724338177,MrChiboya
24868107,TanithCarey
2480072786,ZurichAdvocacy
19050314,MikeSchreiner
307826219,MahindraRise
123231225,citizensclimate
716576919328841728,anttilip
1296279134079823872,loscharlos
898297024784859136,CrowtherLab
543799267,TorranceCoste
357270132,hadrianmk
1267475573179387904,robertburns73
20820771,sacredbalance
253559617,FuelOilNews
41133588,Renuks
1483308065978220544,fireproofaus
45862515,Bel_B30
528389751,CAugustenborg
17596622,nature_org
856148305,EUClimateAction
575510575,SophieBoehm
147050008,DrJakeW
140137815,IPBES
1381982526881865728,IMariashikongo
906971212370386944,rwclimate
1059390344591159296,DiedrahKelly
1505466403205251074,DarshanGajra
2374689314,TanyaMuzinda
1054893957652434944,JJKALE2
3418339671,i_ameztoy
38146999,UNEP
755135678422327296,BernieSpofforth
1715151974,KabilaObbo
799456814299512832,GayathrikumarIs
1634512056,slsandpet
61123963,Michtull
1023772862912421888,akashram76
193366434,D9Herbs
2187906247,Weather_West
70985635,UN_HRC
18732270,AnnualReviews
13201312,WWF
1411408431018299398,AqlilaA
271074952,penottawa
4227187828,scientia_social
