Source,Target
140137815,57341938
140137815,34733652
40001204,14159148
40001204,38146999
40001204,19649135
1083463086105874433,65051142
1083463086105874433,1134059457191776257
1175946629804740608,190402471
140137815,140137815
140137815,192942213
811192656,3196494064
811192656,274025365
38146999,113062227
1445119592,870629200348274688
1445119592,2477489533
408068123,8731312
408068123,15463610
2769994652,32372834
2769994652,1051881386355949570
716576919328841728,1467609360
926309671773683712,48702842
926309671773683712,1087723402226487297
926309671773683712,906971212370386944
926309671773683712,1148442735734677504
926309671773683712,59195104
926309671773683712,1402192935056195586
926309671773683712,1008688766062661632
926309671773683712,113721008
408068123,8731312
408068123,45885508
408068123,15463610
408068123,2590407811
703949121745350657,905916913858916353
113062227,2242373666
811192656,576388016
811192656,117414115
809310522,276713213
1310449270789726208,2187350806
1195025771368239106,1399477867
456808166,11347122
113062227,3346529644
885275791461711873,1345668378594258944
885275791461711873,36683668
885275791461711873,2152297017
885275791461711873,1037050409318273024
192942213,2821132277
926309671773683712,1006419421244678144
926309671773683712,1134059457191776257
926309671773683712,1019974187975430144
926309671773683712,189376144
926309671773683712,1071817859414806528
926309671773683712,17463923
926309671773683712,1072187272815149057
926309671773683712,1087723402226487297
926309671773683712,4329928102
926309671773683712,1008688766062661632
926309671773683712,25234999
40001204,40001204
40001204,74447139
40001204,17463923
40001204,1596123433
1370512346,1265810389
1370512346,1233819640628822017
817976607398731776,355989081
15461733,11348282
811192656,260853848
811192656,234550882
809310522,260853848
755923763829497856,1006419421244678144
755923763829497856,1339266131161313281
883636277534277632,1006419421244678144
883636277534277632,1134059457191776257
883636277534277632,906971212370386944
883636277534277632,1087723402226487297
883636277534277632,1103641840316645376
883636277534277632,1053768884732547072
883636277534277632,1317125122042388485
883636277534277632,1068337838
883636277534277632,917397799972605953
883636277534277632,1183279797654511616
883636277534277632,1019974187975430144
883636277534277632,25234999
555031989,555031989
555031989,85995990
555031989,48008938
555031989,1053425605
716576919328841728,3346529644
113062227,19282280
825920479055671296,1441467623598788613
288392028,16343974
288392028,22677004
288392028,288955950
288392028,50069007
1450826022828584966,1006419421244678144
3045789534,80811754
3045789534,1314384834546921472
3045789534,3045789534
78637132,37982492
40001204,20596281
40001204,40001204
40001204,144993330
2187906247,260478229
189868631,14499829
