Source,Target,Label
anne_kueppers,GermanPolJnl,mentioned
iRituMalhotra,EzySpit,mentioned
cpsavesoil,SadhguruJV,mentioned
Songstress28,MarkRuffalo,mentioned
Songstress28,IndianCountry,mentioned
UN_Women,UN_CSW,mentioned
TonyHussein4,janeclimatepac,quoted
awscloud,nature_org,mentioned
awscloud,CityPlants,mentioned
UNEP,UNDP,mentioned
MOFA_Taiwan,WomensRightsTW,quoted
MOFA_Taiwan,wutrain,mentioned
MOFA_Taiwan,natalieben,mentioned
Laurie_Garrett,nytimes,quoted
Laurie_Garrett,POTUS,mentioned
Laurie_Garrett,JoeBiden,mentioned
WIONews,palkisu,mentioned
WIONews,sudhirchaudhary,mentioned
WomensRightsTW,natalieben,mentioned
WomensRightsTW,wutrain,mentioned
Laurie_Garrett,JuddLegum,quoted
WMO,NOAANCEI,mentioned
COP26,UN_CSW,mentioned
IUCN,Nature4Climate,mentioned
ResearchpodHQ,BAS_News,mentioned
_GlobalCrisis_,climate_hustle,mentioned
_GlobalCrisis_,ClimateDepot,mentioned
_GlobalCrisis_,CreativeScty,mentioned
WMO,ZLabe,mentioned
WMO,CopernicusECMWF,mentioned
flossiebeachcl1,GretaThunberg,mentioned
OlumideIDOWU,AYICC,mentioned
Dr_CMGreer,JustinAHorwitz,quoted
Dr_CMGreer,FordhamPosc,mentioned
IPBES,IPBES,mentioned
AaravSeth_,GretaThunberg,mentioned
AaravSeth_,vanessa_vash,mentioned
AaravSeth_,ExtinctionR,mentioned
AaravSeth_,KaoHua3,mentioned
AaravSeth_,WeDontHaveTime,mentioned
AaravSeth_,parents4future,mentioned
TonyHussein4,nowthisnews,quoted
AgabaMuhairwe,min_waterUg,mentioned
JesseJenkins,TheProblem,quoted
JesseJenkins,jonstewart,mentioned
JesseJenkins,TheProblem,mentioned
AaravSeth_,GretaThunberg,mentioned
AaravSeth_,vanessa_vash,mentioned
AaravSeth_,KaoHua3,mentioned
AaravSeth_,WeDontHaveTime,mentioned
AaravSeth_,parents4future,mentioned
AaravSeth_,ExtinctionR,mentioned
UN_Women,JaneGoodallInst,mentioned
IPCC_CH,UN,mentioned
transportdata,TheWarOnCars,mentioned
MalhotraSaurabh,banegaswasthind,mentioned
PeterGleick,KetanJ0,quoted
steveirons,Dom_Perrottet,mentioned
steveirons,abcnews,mentioned
BeeAsMarine,anttilip,mentioned
WorldBankAfrica,HafezGhanem_WB,mentioned
climateconomics,GernotWagner,mentioned
quakes99,elonmusk,mentioned
anttilip,CopernicusECMWF,mentioned
UNESCO,IPCC_CH,mentioned
CSR_India,MinistryWCD,mentioned
CSR_India,TwitterIndia,mentioned
DanielTurnerPTF,TomSteyer,mentioned
DanielTurnerPTF,MikeBloomberg,mentioned
DanielTurnerPTF,AOC,mentioned
DanielTurnerPTF,SenSanders,mentioned
TRBRajaa,karthickselvaa,quoted
rafaelmgrossi,iaeaorg,mentioned
rafaelmgrossi,teddyboylocsin,mentioned
esa,IPCC_CH,mentioned
ConstructiveVo1,FarahNazSustain,mentioned
alroker,Cronkite_ASU,mentioned
ArcticCouncil,IPCC_CH,mentioned
BeeAsMarine,IPCC_CH,mentioned
BeeAsMarine,IPCC_CH,mentioned
flyingbeast320,SadhguruJV,mentioned
flyingbeast320,ishafoundation,mentioned
scott_saleska,IPCC_CH,mentioned
scott_saleska,EPA,mentioned
ymalhi,CurrentBiology,mentioned
JCSvenning,CurrentBiology,mentioned
JCSvenning,ymalhi,mentioned
ConnectAID_int,IPCC_CH,mentioned
citizensclimate,bradplumer,mentioned
citizensclimate,zhonggg,mentioned
UNBiodiversity,IPCC_CH,mentioned
UNCCD,IPCC_CH,mentioned
IPCC_CH,poertner_hans,mentioned
dw_hotspotasia,IPCC_CH,mentioned
PEspinosaC,IPCC_CH,mentioned
IPCC_CH,UN,mentioned
IPCC_CH,antonioguterres,mentioned
IPBES,IPCC_CH,mentioned
unepwcmc,IPCC_CH,mentioned
WRIClimate,IPCC_CH,mentioned
COP26,IPCC_CH,mentioned
SonyKapoor,IPCC_CH,mentioned
SonyKapoor,KA_Nicholas,mentioned
theGEF,theGEF,mentioned
theGEF,UNDP,mentioned
AbigailOyedokun,UKinNigeria,mentioned
fpjindia,SadhguruJV,mentioned
DanielTurnerPTF,JohnKerry,mentioned
ellymelly,ScottMorrisonMP,mentioned
IPCC_CH,IPCC_CH,mentioned
Harold_Steves,Harold_Steves,quoted
NOAA,IPCC_CH,mentioned
NOAA,NOAAResearch,mentioned
OmonukN,Riseupmovt,mentioned
IPBES,WWF,mentioned
DanielTurnerPTF,JoeBiden,mentioned
DanielTurnerPTF,JohnKerry,mentioned
DanielTurnerPTF,algore,mentioned
IPCC_CH,UNEP,mentioned
IPCC_CH,GRIDArendal,mentioned
GrettaPecl,CMS_UTas,mentioned
AaravSeth_,GretaThunberg,mentioned
drop_BP,britishmuseum,mentioned
TonyHussein4,MikeHudema,quoted
DanielTurnerPTF,PressSec,mentioned
DanielTurnerPTF,JoeBiden,mentioned
PTIofficial,zartajgulwazir,mentioned
